"Step","act - train/l1_loss","act - train/l1_loss__MIN","act - train/l1_loss__MAX"
"50","0.34218791127204895","0.34218791127204895","0.34218791127204895"
"100","0.2995586693286896","0.2995586693286896","0.2995586693286896"
"150","0.2399159073829651","0.2399159073829651","0.2399159073829651"
"200","0.20213444530963898","0.20213444530963898","0.20213444530963898"
"250","0.1791827380657196","0.1791827380657196","0.1791827380657196"
"300","0.14666776359081268","0.14666776359081268","0.14666776359081268"
"350","0.14249292016029358","0.14249292016029358","0.14249292016029358"
"400","0.13672325015068054","0.13672325015068054","0.13672325015068054"
"450","0.12955665588378906","0.12955665588378906","0.12955665588378906"
"500","0.13527651131153107","0.13527651131153107","0.13527651131153107"
"550","0.1195855587720871","0.1195855587720871","0.1195855587720871"
"600","0.11869475245475769","0.11869475245475769","0.11869475245475769"
"650","0.11219522356987","0.11219522356987","0.11219522356987"
"700","0.11237840354442596","0.11237840354442596","0.11237840354442596"
"750","0.10471498966217041","0.10471498966217041","0.10471498966217041"
"800","0.09196414798498154","0.09196414798498154","0.09196414798498154"
"850","0.09020646661520004","0.09020646661520004","0.09020646661520004"
"900","0.09327815473079681","0.09327815473079681","0.09327815473079681"
"950","0.09621682018041611","0.09621682018041611","0.09621682018041611"
"1000","0.07691893726587296","0.07691893726587296","0.07691893726587296"
"1050","0.09098347276449203","0.09098347276449203","0.09098347276449203"
"1100","0.08776434510946274","0.08776434510946274","0.08776434510946274"
"1150","0.0835442915558815","0.0835442915558815","0.0835442915558815"
"1200","0.07582613080739975","0.07582613080739975","0.07582613080739975"
"1250","0.07583357393741608","0.07583357393741608","0.07583357393741608"
"1300","0.07711399346590042","0.07711399346590042","0.07711399346590042"
"1350","0.07946650683879852","0.07946650683879852","0.07946650683879852"
"1400","0.0711546540260315","0.0711546540260315","0.0711546540260315"
"1450","0.07696770876646042","0.07696770876646042","0.07696770876646042"
"1500","0.06608270108699799","0.06608270108699799","0.06608270108699799"
"1550","0.07116568833589554","0.07116568833589554","0.07116568833589554"
"1600","0.06761899590492249","0.06761899590492249","0.06761899590492249"
"1650","0.06328929215669632","0.06328929215669632","0.06328929215669632"
"1700","0.06525573879480362","0.06525573879480362","0.06525573879480362"
"1750","0.05929388850927353","0.05929388850927353","0.05929388850927353"
"1800","0.06456571072340012","0.06456571072340012","0.06456571072340012"
"1850","0.05961405858397484","0.05961405858397484","0.05961405858397484"
"1900","0.06206246465444565","0.06206246465444565","0.06206246465444565"
"1950","0.05898663029074669","0.05898663029074669","0.05898663029074669"
"2000","0.060401398688554764","0.060401398688554764","0.060401398688554764"
"2050","0.06290445476770401","0.06290445476770401","0.06290445476770401"
"2100","0.05698416009545326","0.05698416009545326","0.05698416009545326"
"2150","0.06347909569740295","0.06347909569740295","0.06347909569740295"
"2200","0.05458176136016846","0.05458176136016846","0.05458176136016846"
"2250","0.05679395794868469","0.05679395794868469","0.05679395794868469"
"2300","0.052300140261650085","0.052300140261650085","0.052300140261650085"
"2350","0.05435282737016678","0.05435282737016678","0.05435282737016678"
"2400","0.051892008632421494","0.051892008632421494","0.051892008632421494"
"2450","0.05646228417754173","0.05646228417754173","0.05646228417754173"
"2500","0.05453998222947121","0.05453998222947121","0.05453998222947121"
"2550","0.05089622363448143","0.05089622363448143","0.05089622363448143"
"2600","0.05457155779004097","0.05457155779004097","0.05457155779004097"
"2650","0.05115330219268799","0.05115330219268799","0.05115330219268799"
"2700","0.04952085763216019","0.04952085763216019","0.04952085763216019"
"2750","0.04642581194639206","0.04642581194639206","0.04642581194639206"
"2800","0.050623130053281784","0.050623130053281784","0.050623130053281784"
