"Step","act - train/l1_loss","act - train/l1_loss__MIN","act - train/l1_loss__MAX"
"2850","0.052748460322618484","0.052748460322618484","0.052748460322618484"
"2900","0.051283687353134155","0.051283687353134155","0.051283687353134155"
"2950","0.043894387781620026","0.043894387781620026","0.043894387781620026"
"3000","0.04794030264019966","0.04794030264019966","0.04794030264019966"
"3050","0.04824616387486458","0.04824616387486458","0.04824616387486458"
"3100","0.04730920493602753","0.04730920493602753","0.04730920493602753"
"3150","0.046064216643571854","0.046064216643571854","0.046064216643571854"
"3200","0.045909881591796875","0.045909881591796875","0.045909881591796875"
"3250","0.048206303268671036","0.048206303268671036","0.048206303268671036"
"3300","0.046386126428842545","0.046386126428842545","0.046386126428842545"
"3350","0.04479160159826279","0.04479160159826279","0.04479160159826279"
"3400","0.04709220305085182","0.04709220305085182","0.04709220305085182"
"3450","0.043281108140945435","0.043281108140945435","0.043281108140945435"
"3500","0.04355084151029587","0.04355084151029587","0.04355084151029587"
"3550","0.045006223022937775","0.045006223022937775","0.045006223022937775"
"3600","0.0449984148144722","0.0449984148144722","0.0449984148144722"
"3650","0.03691122308373451","0.03691122308373451","0.03691122308373451"
"3700","0.04747049883008003","0.04747049883008003","0.04747049883008003"
"3750","0.03914196789264679","0.03914196789264679","0.03914196789264679"
"3800","0.0446401871740818","0.0446401871740818","0.0446401871740818"
"3850","0.04389437288045883","0.04389437288045883","0.04389437288045883"
"3900","0.04635610058903694","0.04635610058903694","0.04635610058903694"
"3950","0.04078193008899689","0.04078193008899689","0.04078193008899689"
"4000","0.042692624032497406","0.042692624032497406","0.042692624032497406"
"4050","0.04171910509467125","0.04171910509467125","0.04171910509467125"
"4100","0.040985025465488434","0.040985025465488434","0.040985025465488434"
"4150","0.033408116549253464","0.033408116549253464","0.033408116549253464"
"4200","0.039855364710092545","0.039855364710092545","0.039855364710092545"
"4250","0.043278589844703674","0.043278589844703674","0.043278589844703674"
"4300","0.036016155034303665","0.036016155034303665","0.036016155034303665"
"4350","0.03836827352643013","0.03836827352643013","0.03836827352643013"
"4400","0.03894967958331108","0.03894967958331108","0.03894967958331108"
"4450","0.03777870908379555","0.03777870908379555","0.03777870908379555"
"4500","0.042312461882829666","0.042312461882829666","0.042312461882829666"
"4550","0.036365799605846405","0.036365799605846405","0.036365799605846405"
"4600","0.03853368014097214","0.03853368014097214","0.03853368014097214"
"4650","0.03833654895424843","0.03833654895424843","0.03833654895424843"
"4700","0.03755709156394005","0.03755709156394005","0.03755709156394005"
"4750","0.03629074990749359","0.03629074990749359","0.03629074990749359"
"4800","0.03689606860280037","0.03689606860280037","0.03689606860280037"
"4850","0.03624754026532173","0.03624754026532173","0.03624754026532173"
"4900","0.03630734607577324","0.03630734607577324","0.03630734607577324"
"4950","0.03419828414916992","0.03419828414916992","0.03419828414916992"
"5000","0.03439851105213165","0.03439851105213165","0.03439851105213165"
